wheel_1_Force_x,wheel_1_Force_y,wheel_1_Force_z,wheel_2_Force_x,wheel_2_Force_y,wheel_2_Force_z,wheel_3_Force_x,wheel_3_Force_y,wheel_3_Force_z,wheel_4_Force_x,wheel_4_Force_y,wheel_4_Force_z,,,
0,0,138.73317,0,0,187.58023,-2.30464E-13,5.891858E-13,113.97214,0,0,103.582535,,,543.868075
0,0,115.218575,0,0,149.15411,-1.5156828E-12,1.5697051E-12,128.73282,0,0,148.7356,,,541.841105
0,0,108.00705,0,0,168.88435,0.019869484,-0.019869559,134.82903,0,0,161.07811,,,572.79854
0,0,79.62474,1.14309825E-10,-0.0004269501,206.21802,0,0,78.128136,0,0,214.6778,,,578.648696
-8.6050066E-05,0.00068839605,127.83889,0,0,161.4933,1.20576205E-11,-0.01042399,120.25672,0,0,158.74095,,,568.32986
0,0,131.05518,0,0,139.02834,-4.9760625E-12,-7.1693357E-13,122.918106,0,0,130.74274,,,523.744366
0,0,116.41989,0,0,184.24889,-4.3989794E-12,2.3409727E-12,122.93496,0,0,156.14374,,,579.74748
0,0,125.8049,0,0,167.53966,3.052861E-12,1.568487E-12,124.58139,0,0,172.4076,,,590.33355
0,0,118.1788,0,0,148.6539,-4.3779216E-12,2.0157417E-12,125.1551,0,0,112.49776,,,504.48556
0,0,121.62395,0,0,174.90456,-9.525903E-12,1.5916311E-12,129.44226,0,0,181.31744,,,607.28821
0,0,76.148705,3.605282E-11,-0.00026674313,210.68607,0,0,83.0429,0,0,201.5469,,,571.424575
0,0,126.58406,0,0,156.37961,-1.6965205E-12,9.517222E-13,123.94283,0,0,149.35803,,,556.26453
0,0,124.65971,0,0,165.50046,-2.6661527E-12,1.2790747E-12,129.1308,0,0,145.6979,,,564.98887
0,0,81.80852,-2.3526457E-11,-0.0003188023,201.92038,0,0,82.39441,0,0,218.59378,,,584.71709
-0.00019641944,0.0015713533,125.90921,0,0,156.39192,0.007568914,-0.007568942,117.87212,0,0,160.6484,,,560.82165
0,0,128.29953,0,0,152.47899,-4.5444048E-12,2.333586E-12,126.72168,0,0,150.028,,,557.5282
0,0,83.93802,-3.0551634E-11,-0.000271852,205.07166,0,0,84.736984,0,0,215.44733,,,589.193994
-6.2081905E-05,0.00049662864,121.86043,0,0,156.79816,0.0026602615,-0.0026602712,117.44382,0,0,161.46606,,,557.56847
0,0,77.60507,9.654774E-11,-0.00023038329,206.22925,1.7805489E-13,-0.0014710152,83.0573,0.00012157665,-0.000972607,198.87787,,,565.76949
0,0,122.74454,0,0,168.06032,-4.4194587E-12,3.015254E-12,128.49811,0,0,165.54416,,,584.84713
0,0,81.39991,-1.6177414E-11,-0.00032654087,206.82126,0,0,80.151184,0,0,204.33318,,,572.705534
0,0,130.38768,0,0,132.54546,-8.5394143E-13,-2.1157314E-13,116.6066,0,0,123.68428,,,503.22402
0,0,128.06833,0,0,162.46216,-1.7577315E-12,-8.638746E-13,121.80075,0,0,159.62715,,,571.95839
0,0,122.83004,0,0,138.75389,-3.436225E-12,2.1119126E-12,116.30459,0,0,136.04465,,,513.93317
0,0,125.83351,0,0,168.88986,-4.4019046E-12,-7.947185E-15,118.80578,0,0,175.60913,,,589.13828
0,0,73.463974,3.669053E-11,-0.00026499273,222.38483,0,0,85.39501,0,0,210.58496,,,591.828774
0,0,79.70057,-4.206939E-11,-0.00029557143,196.47377,0,0,82.57939,0,0,202.19907,,,560.9528
0,0,128.86597,0,0,150.78793,-2.5924432E-12,9.668221E-14,119.67714,0,0,134.28188,,,533.61292
0,0,78.07096,3.0636615E-11,-0.00028903215,218.03098,0,0,84.03,0,0,217.9521,,,598.08404
0,0,78.078064,-1.1936686E-11,-0.00031138753,197.2236,0,0,83.03291,0,0,196.49054,,,554.825114
0,0,122.22763,0,0,156.88602,-2.6379105E-12,1.9894928E-12,127.77866,0,0,140.95259,,,547.8449
-0.00020385056,0.0016308026,120.00842,0,0,175.88707,0,0.003962999,128.31285,2.955787E-06,-2.3646297E-05,160.87968,,,585.08802
0,0,85.209694,-6.548865E-11,-0.0001919853,201.39381,0,0,78.01336,0,0,224.51723,,,589.134094
0,0,127.302284,0,0,149.56473,-2.2398097E-12,-9.210061E-13,122.63542,0,0,148.15224,,,547.654674
0,0,127.540276,0,0,160.38562,5.3270157E-12,3.759251E-12,129.6886,0,0,154.05124,,,571.665736
0,0,82.95053,2.092263E-11,-9.918102E-05,201.7753,0,0,85.07886,0,0,209.11012,,,578.91481
0,0,78.55281,3.183263E-11,-2.0180805E-05,225.80646,0,0,75.27192,0,0,231.98076,,,611.61195
0,0,117.098755,0,0,151.03711,1.1322219E-12,5.0003334E-13,130.75069,0,0,123.43039,,,522.316945
0,0,121.58649,0,0,170.92165,2.4191329E-15,2.3548245E-12,133.15875,0,0,175.34105,,,601.00794
0,0,77.889854,-1.3175268E-11,-7.507032E-05,209.99449,0,0,88.75316,0,0,209.32045,,,585.957954
0,0,132.4443,0,0,134.28412,0,0,126.13173,0,0,142.68835,,,535.5485
0,0,79.93888,1.8425168E-11,-8.838076E-05,204.6029,0,0,85.62606,0,0,213.42117,,,583.58901
0,0,124.79108,0,0,137.35199,0.04363223,-0.043632396,117.48938,0,0,136.04683,,,515.67928
0,0,79.53711,6.447795E-11,-3.8428653E-12,210.3353,0,0,84.55349,0,0,213.69597,,,588.12187
0,0,119.40285,0,0,142.89587,-3.1954912E-12,-5.3317637E-14,129.77834,0,0,118.55236,,,510.62942
0,0,127.30984,0,0,163.42523,1.5133957E-12,6.2010027E-13,122.628845,0,0,164.79095,,,578.154865
0,0,123.46126,0,0,138.141,1.0857655E-12,8.2352587E-13,124.57063,0,0,117.84982,,,504.02271
0,0,79.306114,-1.1660057E-11,-6.312964E-05,201.82051,3.1438662E-12,1.6356143E-12,88.08237,0,0,194.01381,,,563.222804
0,0,124.17607,0,0,160.50735,0.059698537,-0.059698764,121.64932,0,0,163.17892,,,569.51166
0,0,127.794174,0,0,159.74886,-5.500797E-12,4.6390036E-12,121.89449,0,0,152.27367,,,561.711194
0,0,80.06664,1.477053E-11,6.174877E-06,207.27446,0,0,77.12237,0,0,208.7905,,,573.25397
0,0,121.60593,0,0,160.19524,1.6798451E-12,1.1574103E-12,119.15496,0,0,151.93787,,,552.894
0,0,122.19946,0,0,150.8065,5.0825116E-13,2.536573E-13,123.73272,0,0,129.47162,,,526.2103
0,0,125.937546,0,0,161.30814,2.8727645E-12,7.494461E-13,120.19265,0,0,174.07956,,,581.517896
0,0,118.46474,0,0,165.25835,0.044218075,-0.044218242,129.72975,0,0,148.93765,,,562.39049
0,0,117.33067,0,0,184.29062,-5.271617E-12,7.922978E-12,133.35344,0,0,164.82079,,,599.79552
0,0,121.536545,0,0,154.11707,-3.8337523E-12,8.627148E-13,120.60736,0,0,130.11517,,,526.376145
0,0,78.91408,-4.857982E-11,5.1687988E-05,204.12065,0,0,93.22957,0,0,197.25893,,,573.52323
0,0,133.67732,0,0,146.0753,0,0,122.62512,0,0,156.03593,,,558.41367
0,0,120.917175,0,0,177.80258,-4.136685E-12,2.050541E-12,123.22575,0,0,164.21082,,,586.156325
0,0,123.380775,0,0,145.50943,0,0,133.33774,0,0,138.52599,,,540.753935
0,0,81.450356,4.5412714E-12,8.6992186E-05,201.38533,0,0,89.6572,0,0,205.45435,,,577.947236
0,0,119.98962,0,0,144.68446,3.476815E-12,-0.00010997828,131.48512,0,0,142.76599,,,538.92519
0,0,124.27942,0,0,167.11368,2.4948064E-12,-0.021729503,108.218315,0,0,180.74121,,,580.352625
0,0,122.458496,0,0,156.99246,-2.3322978E-12,1.4102913E-12,120.566025,0,0,141.46944,,,541.486421
0,0,120.42072,0,0,154.73285,-4.724962E-12,5.396383E-12,136.67798,0,0,133.88567,,,545.71722
0,0,116.3105,0,0,180.15611,-2.9742842E-12,-5.8535472E-12,128.1431,0,0,157.73445,,,582.34416
0,0,128.5888,0,0,163.54912,-1.2092174E-12,-3.863243E-12,124.573784,0,0,166.8885,,,583.600204
0,0,127.21683,0,0,161.00441,-2.1108378E-12,-5.663052E-12,124.71455,0,0,159.2142,,,572.14999
0,0,127.78916,0,0,147.73962,-1.0601199E-12,-3.4169922E-12,119.29886,0,0,133.17157,,,527.99921
0,0,124.595245,0,0,163.88412,-1.4427878E-12,7.382798E-13,112.17887,0,0,152.93448,,,553.592715
0,0,122.074776,0,0,142.39925,-1.5931374E-12,-1.8954569E-12,127.37434,0,0,131.93384,,,523.782206
0,0,115.14492,-0.00014891922,0.0011913509,165.72397,0.00040170387,-0.0004017054,129.82089,-0.00010498255,0.00083986064,142.19984,,,552.88962
0,0,81.63728,0,0,205.7767,0,0,76.92026,0,0,217.9787,,,582.31294
0,0,84.01486,0,0,195.60942,1.4519577E-12,3.650048E-12,84.18483,0,0,187.53671,,,551.34582
0,0,84.560974,0,0,205.09842,0,0,78.91852,0,0,220.23247,,,588.810384
0,0,116.15531,0,0,159.69913,-6.7874395E-12,-4.006506E-12,126.283585,-2.2802813E-05,0.00018242229,140.73988,,,542.877905
0,0,77.37501,0,0,206.4784,0,0,94.78784,0,0,203.98979,,,582.63104
0,0,133.12651,0,0,147.30124,0,0,125.83999,0,0,159.29767,,,565.56541
0,0,126.32858,0,0,168.7043,-2.6412186E-12,1.4312877E-12,123.55297,0,0,169.55003,,,588.13588
4.7660956E-06,-3.812874E-05,81.52693,0,0,201.06873,-0.004732,0.0047320183,84.245834,0,0,189.63205,,,556.473544
0,0,79.07513,0,0,206.2686,0,0,74.87777,0,0,208.43245,,,568.65395
